SKU,Photo,Brand,Type,Model #,Dial,Product Description,Price,# of links / screw,Paper,Date,Serial #,Box,Status,More Photos,Notes,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
10450,,Cartier,Unworn,WSSA0096,BLACK,"SANTOS DE CARTIER LARGE BLACK, ADLC BEZEL SMARTLINK AND LEATHER STRAP","$7,800.00",Leather / Titanium Strap,With Card,2026,XXXX87GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
9976,,Cartier,Unworn,WSTA0053,SILVER,TANK MUST WATCH EXTRA LARGE SS BRACELET,"$5,000.00",Full Links,With Card,2026,XXXX23FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11037,,Cartier,Unworn,WSTA0106,WHITE,TANK MUST WATCH LARGE SS STRAP,"$3,900.00",Full Links,With Card,2026,XXXX45GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11050,,Cartier,Unworn,WSTA0107,WHITE,TANK MUST WATCH SMALL SS STRAP,"$3,650.00",Full Links,With Card,2026,XXXX85GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11146,,Cartier,Unworn,WSTA0121,WHITE,TANK MUST WATCH SOLARBEAT WATCH SS STRAP SMALL,"$3,600.00",Full Links,With Card,2026,XXXX09GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11147,,Cartier,Unworn,WSTA0122,WHITE,TANK MUST WATCH SOLARBEAT WATCH SS STRAP LARGE,"$3,850.00",Full Links,With Card,1-Aug-2026,XXXX63GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11194,,Cartier,Unworn,WSTA0129,WHITE,"SS TANK
FRANCAISE SMALL SS STRAP","$3,800.00",Full Links,With Card,,XXXX49GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10942,,Cartier,Unworn,WSTA0135,WHITE,TANK MUST WATCH SMALL LEATHER STRAP,"$3,250.00",Leather Strap,With Card,2026,XXXX75GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11145,,Cartier,Unworn,WSTA0136,WHITE,TANK MUST WATCH LARGE LEATHER STRAP,"$3,450.00",Leather Strap,With Card,2026,XXXX79GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11193,,Cartier,Unworn,WSTA0137,WHITE,"TANK MUST
WATCH SOLARBEAT SMALL
LEATHER STRAP","$3,250.00",Leather Strap,With Card,2026,XXXX56GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
